机场名称,餐厅编码,餐厅名称,餐厅状态,套餐类型,套餐内容,套餐供应时间,站点类型,航站楼,出发类型,安检类型,位置指引,境内外,机场编码,城市,省份
义乌机场,N02679,乌商面馆,正常使用,餐食体验厅,"饮品：【鲜百香果汁 * 1】,配菜：【柠檬凤爪 * 1,关东煮4串 * 1】,主食：【牛肉面 * 1】",06:00-21:00,机场,T1航站楼,国内出发,安检后,5号登机口对面,境内,YIW,义乌市,浙江省
合肥新桥国际机场,N02691,吉祥馄饨（A06登机口）,正常使用,餐食体验厅,"饮品：【原味拿铁36元 * 1】,小食：【萝卜牛肉饼1个 * 1,风味柠檬鸡爪 * 1】,主食：【虾仁鲜肉馄饨 * 1】",06：00-22：00,机场,主航站楼,国内出发,安检后,A06号登机口,境内,HFE,合肥市,安徽省
南京禄口国际机场,N02495,富春茶社,正常使用,餐食体验厅,"饮品：【杨枝甘露 * 1】,配菜：【青菜包 * 1,盐水鸭 * 1】,主食：【红烧狮子头面 * 1】",09:30-20:00,机场,T1航站楼,国内出发,安检后,125登机口对面,境内,NKG,南京市,江苏省
南京禄口国际机场,N02497,陇兴楼手工牛肉拉面(118登机口旁),正常使用,餐食体验厅,"饮品：【金桔柠檬茶 * 1】,配菜：【金陵盐水鸭 * 1,香拌牛肉 * 1】,主食：【红烧牛肉面 * 1】",08:30-20:00,机场,T1航站楼,国内出发,安检后,隔离区118登机口,境内,NKG,南京市,江苏省
长春龙嘉国际机场,N02693,愚小面,正常使用,餐食体验厅,"饮品：【百香果汁9 * 1】,配菜：【肉沫拉皮 * 1,酱牛肉 * 1,关东煮（5串） * 1,茶蛋 * 1】,主食：【排骨面 * 1】",06:00-21:00,机场,T2航站楼,国内出发,安检后,29号登机口对面,境内,CGQ,长春市,吉林省
桂林两江国际机场,N02186,桂林小吃街,正常使用,餐食体验厅,"汤品：【排骨汤 * 1】,饮品：【美式咖啡 * 1】,小食：【水果 * 1,烤肠  * 1】,配菜：【凉拌海带丝 * 1】,主食：【烧鹅饭 * 1】",06:30-22:00,机场,T2航站楼,国内出发,安检后,进安检右手边下三楼201登机口旁,境内,KWL,桂林市,广西壮族自治区
桂林两江国际机场,N02187,米芝莲,正常使用,餐食体验厅,"饮品：【杨枝甘露(大杯) * 1,红豆双皮奶 * 1】,小食：【原味鸡蛋仔 * 1,蛋挞(4个) * 1】,主食：【鱼蛋车仔面 * 1】",09:30-19:00,机场,T2航站楼,国内出发,安检后,进安检右手边下三楼203登机口旁,境内,KWL,桂林市,广西壮族自治区
杭州萧山国际机场,N02562,遣唐拉面(T3航站楼 ),正常使用,餐食体验厅,"小食：【中华小章鱼 * 1,海带丝 * 1,泡菜 * 1,笋条 * 1】,主食：【鳗鱼盖饭套餐(含鳗鱼盖饭、蜂蜜养颜柚子茶、猪骨汤) * 1】",05:30-21:30,机场,T3航站楼,国内出发,安检后,B15-B21登机口旁四楼,境内,HGH,杭州市,浙江省
合肥新桥国际机场,N02622,迪欧咖啡(A08登机口斜对面),正常使用,餐食体验厅,"饮品：【鲜榨果汁 * 1】,主食：【黑椒牛排（西冷牛排180g+蔬菜沙拉70g） * 1,（主食意面/米饭免费） * 1】",06:10-22:00,机场,主航站楼,国内出发,安检后,A08登机口斜对面,境内,HFE,合肥市,安徽省
广州白云国际机场,N02574,太平洋咖啡（T1国内出发，安检后）,正常使用,餐食体验厅,"饮品：【榛子拿铁 * 1,依云水 * 1】,甜点：【伯爵抹茶/朗姆栗子/LaViÑa 巴斯克/奥利奥芝士/海盐太妃芝士/熊猫王子(芝士蛋糕) * 1】,主食：【火腿芝士可颂 * 1】",05:30-22:00,机场,T1航站楼,国内出发,安检后,B区西二指廊，B214登机口附近,境内,CAN,广州市,广东省
